date,sp500,sp500_indexed_d0,sp500_delta_vs_d0_pct,nasdaq,nasdaq_indexed_d0,nasdaq_delta_vs_d0_pct,eurostoxx50,eurostoxx50_indexed_d0,eurostoxx50_delta_vs_d0_pct,dax,dax_indexed_d0,dax_delta_vs_d0_pct,ftse100,ftse100_indexed_d0,ftse100_delta_vs_d0_pct,nikkei225,nikkei225_indexed_d0,nikkei225_delta_vs_d0_pct,shanghai,shanghai_indexed_d0,shanghai_delta_vs_d0_pct
2025-07-03,6279.35009765625,93.56523296745223,-6.434767032547765,20601.099609375,90.5337491273013,-9.466250872698689,5343.14990234375,95.7346156073698,-4.265384392630196,23934.130859375,99.25565598343712,-0.7443440165628653,8823.2001953125,93.40277598299782,-6.597224017002177,39785.8984375,89.3044622989635,-10.695537701036509,3461.15087890625,87.98107729091834,-12.018922709081655
2025-07-04,,,,,,,5288.81005859375,94.76099440103066,-5.239005598969337,23787.44921875,98.64736222309537,-1.3526377769046327,8822.900390625,93.39960223770753,-6.600397762292473,39810.87890625,89.36053410875809,-10.639465891241908,3472.319091796875,88.26496881599454,-11.73503118400546
2025-07-07,6229.97998046875,92.82959529087118,-7.170404709128819,20412.51953125,89.70501368079115,-10.294986319208848,5341.5400390625,95.70577126550634,-4.294228734493651,24073.669921875,99.83432922898456,-0.16567077101543934,8806.5,93.22598699860252,-6.774013001397481,39587.6796875,88.85953533786619,-11.140464662133807,3473.126953125,88.28550432930697,-11.71449567069303
2025-07-08,6225.52001953125,92.76313980142513,-7.236860198574881,20418.4609375,89.73112382991427,-10.268876170085735,5371.9501953125,96.25063799624823,-3.7493620037517763,24206.91015625,100.38688101972977,0.3868810197297576,8854.2001953125,93.73094331360097,-6.269056686399023,39688.80859375,89.08653191077822,-10.91346808922178,3497.47509765625,88.90442446912222,-11.095575530877772
2025-07-09,6263.259765625,93.32547954685708,-6.674520453142914,20611.33984375,90.57875093921864,-9.42124906078137,5445.64990234375,97.57113494130259,-2.4288650586974043,24549.560546875,101.80786386194329,1.8078638619432918,8867.0,93.8664425954248,-6.133557404575197,39821.28125,89.38388348006114,-10.616116519938855,3493.050048828125,88.79194148973637,-11.20805851026363
2025-07-10,6280.4599609375,93.58177044583091,-6.4182295541690815,20630.66015625,90.66365613156768,-9.336343868432314,5438.27001953125,97.43890764893855,-2.5610923510614487,24456.810546875,101.42322645243995,1.4232264524399585,8975.7001953125,95.01714752870689,-4.982852471293112,39646.359375,88.9912492904439,-11.008750709556093,3509.681884765625,89.21471613733263,-10.785283862667374
2025-07-11,6259.75,93.2731824088958,-6.726817591104189,20585.529296875,90.4653237134915,-9.534676286508503,5383.47998046875,96.45722017532671,-3.5427798246732944,24255.310546875,100.58759908839767,0.5875990883976759,8941.099609375,94.65086424082256,-5.349135759177448,39569.6796875,88.81913206976087,-11.18086793023913,3510.177001953125,89.22730181910887,-10.772698180891124
2025-07-14,6268.56005859375,93.40445637387012,-6.595543626129885,20640.330078125,90.70615164383216,-9.29384835616784,5370.85009765625,96.23092725854171,-3.7690727414582867,24160.640625,100.1949996974771,0.19499969747710486,8998.099609375,95.25426868741545,-4.745731312584551,39459.62109375,88.57209168806222,-11.427908311937781,3519.64990234375,89.46809917542063,-10.531900824579365
2025-07-15,6243.759765625,93.03492048987023,-6.96507951012977,20677.80078125,90.87082068095475,-9.129179319045251,5354.169921875,95.93206418229134,-4.067935817708658,24060.2890625,99.77883834934113,-0.2211616506588722,8938.2998046875,94.62122538822555,-5.378774611774451,39678.01953125,89.06231450051196,-10.937685499488033,3504.9990234375,89.09567966684435,-10.904320333155656
2025-07-16,6263.7001953125,93.33204215376318,-6.667957846236811,20730.490234375,91.1023701526491,-8.897629847350903,5298.06982421875,94.92690404588919,-5.073095954110813,24009.380859375,99.56772029680776,-0.4322797031922362,8926.599609375,94.49736661844366,-5.502633381556342,39663.3984375,89.02949561324674,-10.97050438675327,3503.777099609375,89.06461884964014,-10.935381150359861
2025-07-17,6297.35986328125,93.83358684009605,-6.166413159903956,20885.650390625,91.78423815614624,-8.215761843853755,5377.14990234375,96.34380250838166,-3.656197491618343,24370.9296875,101.06707560310389,1.067075603103893,8972.599609375,94.98432459288705,-5.015675407112952,39901.19140625,89.56325189491152,-10.43674810508848,3516.824951171875,89.3962900413807,-10.603709958619296
2025-07-18,6296.7900390625,93.82509619457562,-6.17490380542438,20895.650390625,91.82818423225089,-8.171815767749107,5359.22998046875,96.0227265768109,-3.977273423189101,24289.509765625,100.72942441354094,0.7294244135409409,8992.099609375,95.19075242987935,-4.809247570120646,39819.109375,89.37900843295469,-10.620991567045312,3534.48291015625,89.8451483282795,-10.154851671720488
2025-07-21,6305.60009765625,93.95637015954993,-6.043629840450075,20974.1796875,92.17328967794222,-7.82671032205779,5342.97998046875,95.73157107265082,-4.268428927349178,24307.80078125,100.80527787841625,0.8052778784162509,9013.0,95.41200486213643,-4.587995137863567,,,,3559.791015625,90.48847029291933,-9.511529707080669
2025-07-22,6309.6201171875,94.0162703177073,-5.983729682292704,20892.689453125,91.81517207377928,-8.184827926220718,5290.47998046875,94.79091482844134,-5.209085171558656,24041.900390625,99.70257990067043,-0.29742009932956553,9023.7998046875,95.52633205811489,-4.473667941885105,39774.921875,89.27982402132115,-10.720175978678858,3581.861083984375,91.04948264345738,-8.95051735654262
2025-07-23,6358.91015625,94.7507147930327,-5.249285206967306,21020.01953125,92.37473780414848,-7.6252621958515245,5344.25,95.75432634507631,-4.245673654923687,24240.8203125,100.52750759283869,0.5275075928386878,9061.5,95.92542794388653,-4.074572056113471,41171.3203125,92.4142162686635,-7.585783731336505,3582.298095703125,91.0605913073526,-8.939408692647412
2025-07-24,6363.35009765625,94.81687198216484,-5.183128017835157,21057.9609375,92.54147539680646,-7.458524603193541,5355.2001953125,95.95052386119092,-4.049476138809086,24295.9296875,100.75604804824945,0.7560480482494454,9138.400390625,96.73949877981383,-3.260501220186178,41826.33984375,93.88449014284764,-6.115509857152351,3605.72705078125,91.656146017243,-8.343853982756995
2025-07-25,6388.64013671875,95.1937053104295,-4.806294689570504,21108.3203125,92.7627850894397,-7.237214910560294,5352.16015625,95.8960546854427,-4.103945314557303,24217.5,100.43079746250115,0.43079746250113293,9120.2998046875,96.54788520015374,-3.4521147998462545,41456.23046875,93.05373301471334,-6.946266985286652,3593.655029296875,91.34928003756342,-8.65071996243658
2025-07-28,6389.77001953125,95.21054108912209,-4.789458910877906,21178.580078125,93.0715491901648,-6.9284508098352005,5337.580078125,95.6348196086933,-4.365180391306699,23970.359375,99.40589687184847,-0.5941031281515333,9081.400390625,96.13609433322092,-3.8639056667790745,40998.26953125,92.0257819847369,-7.974218015263106,3597.93701171875,91.45812632586403,-8.54187367413597
2025-07-29,6370.85986328125,94.92877097796958,-5.071229022030424,21098.2890625,92.71870168184724,-7.281298318152768,5379.2001953125,96.3805381442581,-3.6194618557418963,24217.369140625,100.43025478421532,0.4302547842153192,9136.2998046875,96.71726188691666,-3.282738113083336,40674.55078125,91.29915445990528,-8.700845540094718,3609.7109375,91.75741483145643,-8.242585168543567
2025-07-30,6362.89990234375,94.81016386291049,-5.189836137089512,21129.669921875,92.85660824527953,-7.1433917547204695,5393.18017578125,96.63102111419822,-3.3689788858017775,24262.220703125,100.616255741759,0.616255741759005,9136.900390625,96.7236197154298,-3.2763802845702017,40654.69921875,91.254595126461,-8.745404873538998,3615.717041015625,91.91008759150452,-8.089912408495485
2025-07-31,6339.39013671875,94.45985743573192,-5.540142564268075,21122.44921875,92.8248760883735,-7.175123911626501,5319.919921875,95.31839796583087,-4.681602034169128,24065.470703125,99.80032678952418,-0.19967321047582925,9132.7998046875,96.68021073668727,-3.3197892633127246,41069.8203125,92.1863867290696,-7.813613270930392,3573.2080078125,90.82952489237474,-9.170475107625267
2025-08-01,6238.009765625,92.94924281922026,-7.050757180779739,20650.130859375,90.7492222317019,-9.250777768298091,,,,23425.970703125,97.14829850513192,-2.851701494868086,9068.599609375,96.00058471346455,-3.9994152865354424,40799.6015625,91.57984669555103,-8.420153304448972,3559.951904296875,90.49256001890087,-9.507439981099136
2025-08-04,6329.93994140625,94.31904513632979,-5.680954863670209,21053.580078125,92.52222323885671,-7.477776761143291,5242.31982421875,93.92801670084769,-6.071983299152308,23757.689453125,98.52394746129023,-1.4760525387097685,9128.2998046875,96.6325735435352,-3.367426456464795,40290.69921875,90.43755126033119,-9.562448739668802,3583.30908203125,91.08629017729118,-8.913709822708828
2025-08-05,6299.18994140625,93.8608558541582,-6.139144145841788,20916.55078125,91.9200332479532,-8.079966752046797,5249.58984375,94.05827554403999,-5.941724455960018,23846.0703125,98.89046589578811,-1.109534104211888,9142.7001953125,96.78501669679484,-3.214983303205152,40549.5390625,91.01854990496288,-8.981450095037115,3617.597900390625,91.95789828795631,-8.042101712043696
2025-08-06,6345.06005859375,94.54434190512625,-5.45565809487376,21169.419921875,93.0312938977955,-6.968706102204497,5263.2900390625,94.30374553008937,-5.696254469910636,23924.359375,99.21513330487107,-0.7848666951289279,9164.2998046875,97.01367108875178,-2.9863289112482287,40794.859375,91.56920225816391,-8.430797741836093,3633.9951171875,92.37470901041105,-7.625290989588948
2025-08-07,6340.0,94.46894468188017,-5.531055318119823,21242.69921875,93.35332765353188,-6.646672346468117,5332.06982421875,95.53609094690104,-4.46390905309896,24192.5,100.32712161088297,0.32712161088298375,9100.7998046875,96.34145736316144,-3.658542636838561,41059.1484375,92.16243236091341,-7.8375676390865845,3639.6669921875,92.51888581466442,-7.481114185335583
2025-08-08,6389.4501953125,95.20577555971688,-4.794224440283115,21450.01953125,94.26441907664831,-5.735580923351692,5347.740234375,95.81686178809723,-4.183138211902766,24162.859375,100.20420092930821,0.20420092930821557,9095.7001953125,96.28747267942877,-3.712527320571225,41820.48046875,93.87133803734461,-6.128661962655386,3635.1279296875,92.40350465313382,-7.596495346866168
2025-08-11,6373.4501953125,94.96736812834305,-5.032631871656944,21385.400390625,93.98044330947599,-6.0195566905240065,5331.85009765625,95.53215404855753,-4.467845951442471,24081.33984375,99.86613665627398,-0.13386334372602748,9129.7001953125,96.64739813879997,-3.3526018612000232,,,,3647.547119140625,92.71919550435476,-7.280804495645249
2025-08-12,6445.759765625,96.04481431096484,-3.955185689035164,21681.900390625,95.28344446597879,-4.716555534021215,5335.97021484375,95.60597526682984,-4.394024733170154,24024.779296875,99.63157814166381,-0.3684218583361824,9147.7998046875,96.8390013805275,-3.160998619472488,42718.171875,95.88631951304242,-4.113680486957583,3665.91796875,93.18617518710496,-6.813824812895036
2025-08-13,6466.580078125,96.35504663743517,-3.644953362564824,21713.140625,95.42073303771586,-4.579266962284138,5388.25,96.54268586403283,-3.457314135967171,24185.58984375,100.29846495752166,0.2984649575216547,9165.2001953125,97.02320266255519,-2.976797337444798,43274.671875,97.13545388529856,-2.864546114701441,3683.465087890625,93.63221596930633,-6.367784030693673
2025-08-14,6468.5400390625,96.38425096572908,-3.615749034270923,21710.669921875,95.40987526695955,-4.590124733040462,5434.7001953125,97.37494617385099,-2.625053826149019,24377.5,101.0943229128573,1.0943229128572878,9177.2001953125,97.15023517762738,-2.8497648223726095,42649.26171875,95.7316419842564,-4.268358015743597,3666.443115234375,93.19952420165166,-6.800475798348334
2025-08-15,6449.7998046875,96.10501276943612,-3.8949872305638795,21622.98046875,95.02451452889892,-4.975485471101077,5448.60986328125,97.62416933632117,-2.375830663678823,24359.30078125,101.01885013274965,1.0188501327496384,9138.900390625,96.74479180127517,-3.255208198724837,43378.30859375,97.36807955936588,-2.631920440634114,3696.77099609375,93.97044685810681,-6.029553141893198
2025-08-18,6449.14990234375,96.09532892266004,-3.9046710773399584,21629.76953125,95.05434979462935,-4.945650205370657,5434.64013671875,97.37387008830376,-2.626129911696245,24314.76953125,100.83417752205482,0.83417752205481,9157.7001953125,96.94380734063508,-3.0561926593649162,43714.30859375,98.12227389733185,-1.8777261026681413,3728.027099609375,94.76496456491367,-5.235035435086336
2025-08-19,6411.3701171875,95.53239257660024,-4.467607423399754,21314.94921875,93.67083805338797,-6.329161946612041,5483.27978515625,98.24535940294923,-1.7546405970507557,24423.0703125,101.28330455113499,1.2833045511349954,9189.2001953125,97.27726769269958,-2.7227323073004204,43546.2890625,97.7451328879972,-2.2548671120028043,3727.2880859375,94.74617913161154,-5.25382086838846
2025-08-20,6395.77978515625,95.30008938823553,-4.69991061176447,21172.859375,93.04640894467447,-6.953591055325535,5472.31982421875,98.04898691357494,-1.9510130864250672,24276.970703125,100.67742449421371,0.677424494213713,9288.099609375,98.32422113499334,-1.6757788650066565,42888.55078125,96.26875643685963,-3.731243563140365,3766.2099609375,95.73555769743834,-4.264442302561652
2025-08-21,6370.169921875,94.91849053056566,-5.081509469434331,21100.310546875,92.72758531246605,-7.272414687533956,5462.16015625,97.86695348283399,-2.1330465171660142,24293.33984375,100.74530787799587,0.7453078779958777,9309.2001953125,98.54759284342147,-1.452407156578533,42610.171875,95.6438999044105,-4.356100095589502,3771.09912109375,95.85983820200006,-4.140161797999932
2025-08-22,6466.91015625,96.35996495480605,-3.6400350451939527,21496.5390625,94.4688541627148,-5.531145837285189,5488.22998046875,98.33405334829705,-1.6659466517029535,24363.08984375,101.03456350401052,1.0345635040105141,9321.400390625,98.6767446346647,-1.3232553653352994,42633.2890625,95.69578934465514,-4.304210655344867,3825.759033203125,97.24927140507657,-2.75072859492344
2025-08-25,6439.31982421875,95.94885619291095,-4.0511438070890415,21449.2890625,94.26120895312036,-5.738791046879648,5443.9599609375,97.5408558187095,-2.4591441812904944,24273.119140625,100.66145193332379,0.6614519333237919,,,,42807.8203125,96.08754672723883,-3.9124532727611654,3883.56201171875,98.7186001047938,-1.281399895206202
2025-08-26,6465.93994140625,96.34550830300735,-3.6544916969926526,21544.26953125,94.6786108439346,-5.321389156065391,5383.68017578125,96.46080712715079,-3.539192872849207,24152.869140625,100.1627710870405,0.16277108704049426,9265.7998046875,98.08815444540403,-1.9118455545959656,42394.3984375,95.1595692352261,-4.840430764773892,3868.382080078125,98.33273228635106,-1.66726771364893
2025-08-27,6481.39990234375,96.57586890152292,-3.4241310984770825,21590.140625,94.8801963016287,-5.1198036983713004,5393.06982421875,96.62904391636347,-3.3709560836365187,24046.2109375,99.72045588539866,-0.27954411460134243,9255.5,97.97912027088691,-2.0208797291130858,42520.26953125,95.44210276564228,-4.557897234357719,3800.35009765625,96.60338637999611,-3.3966136200038863
2025-08-28,6501.85986328125,96.88073182234281,-3.11926817765719,21705.16015625,95.38566200901204,-4.6143379909879645,5396.72998046875,96.69462389410339,-3.3053761058966167,24039.919921875,99.69436682930007,-0.3056331706999408,9216.7998046875,97.5694383421926,-2.430561657807403,42828.7890625,96.13461372879902,-3.8653862712009746,3843.596923828125,97.7027034826406,-2.2972965173593973
2025-08-29,6460.259765625,96.26087104564736,-3.7391289543526307,21455.55078125,94.28872674999369,-5.711273250006308,5351.72998046875,95.8883471133524,-4.111652886647598,23902.2109375,99.12328298007812,-0.8767170199218818,9187.2998046875,97.25715007597347,-2.7428499240265336,42718.46875,95.8869858863879,-4.1130141136120955,3857.927001953125,98.06696836308376,-1.9330316369162375
2025-09-01,,,,,,,5367.080078125,96.16337883163006,-3.8366211683699443,24037.330078125,99.68362665904648,-0.31637334095350844,9196.2998046875,97.35242446227761,-2.647575537722392,42188.7890625,94.69805308505431,-5.301946914945685,3875.531005859375,98.51445513337876,-1.4855448666212514
2025-09-02,6415.5400390625,95.59452634930327,-4.4054736506967345,21279.630859375,93.51562772248946,-6.484372277510545,5291.0400390625,94.80094954488581,-5.199050455114198,23487.330078125,97.40275792344721,-2.597242076552791,9116.7001953125,96.50977958080512,-3.4902204191948942,42310.48828125,94.97122231635234,-5.028777683647672,3858.133056640625,98.07220619119971,-1.9277938088002835
2025-09-03,6448.259765625,96.082065472117,-3.9179345278830033,21497.73046875,94.47408992568822,-5.525910074311785,5325.009765625,95.40959402879255,-4.59040597120745,23594.80078125,97.84844259026664,-2.1515574097333645,9178.0,97.15870194437903,-2.841298055620972,41938.890625,94.13712455342026,-5.862875446579743,3813.556884765625,96.93909765005834,-3.0609023499416543
2025-09-04,6502.080078125,96.88401312579586,-3.1159868742041383,21707.689453125,95.39677727630803,-4.603222723691965,5346.7099609375,95.79840210919767,-4.201597890802338,23770.330078125,98.57636856376466,-1.423631436235342,9216.900390625,97.57050314924439,-2.42949685075561,42580.26953125,95.57678032599335,-4.423219674006653,3765.8759765625,95.72706794760111,-4.272932052398884
2025-09-05,6481.5,96.57736040309248,-3.4226395969075134,21700.390625,95.36470179068243,-4.635298209317564,5318.14990234375,95.28668406250814,-4.713315937491853,23596.98046875,97.8574818285796,-2.1425181714204067,9208.2001953125,97.47840250823054,-2.5215974917694552,43018.75,96.56100498920738,-3.4389950107926177,3812.513916015625,96.91258579968944,-3.0874142003105587
2025-09-08,6495.14990234375,96.7807502878598,-3.219249712140197,21798.69921875,95.79672948495028,-4.203270515049729,5362.81005859375,96.08687177382117,-3.9131282261788343,23807.130859375,98.72898265721693,-1.271017342783063,9221.400390625,97.61814034239646,-2.381859657603539,43643.80859375,97.96402776391936,-2.0359722360806445,3826.841064453125,97.2767762086428,-2.723223791357199
2025-09-09,6512.60986328125,97.04091181529711,-2.9590881847028982,21879.490234375,96.15177429707306,-3.848225702926929,5368.81982421875,96.19455031784767,-3.805449682152325,23718.44921875,98.36121687262927,-1.6387831273707247,9242.5,97.84150171289204,-2.158498287107957,43459.2890625,97.54985042548815,-2.4501495745118507,3807.2919921875,96.77984657507791,-3.2201534249220956
2025-09-10,6532.0400390625,97.33043045899396,-2.6695695410060347,21886.060546875,96.1806482423887,-3.8193517576112974,5361.47021484375,96.06286544258874,-3.9371345574112633,23632.94921875,98.00664546009521,-1.9933545399047947,9225.400390625,97.66048451408719,-2.339515485912809,43837.671875,98.39917832659273,-1.6008216734072669,3812.220947265625,96.9051386507094,-3.0948613492905874
2025-09-11,6587.47021484375,98.15636582328194,-1.8436341767180533,22043.0703125,96.87064455332161,-3.129355446678389,5386.77001953125,96.51616866652354,-3.4838313334764615,23703.650390625,98.29984562827687,-1.7001543717231244,9297.599609375,98.42478854275882,-1.5752114572411737,44372.5,99.59966744462832,-0.4003325553716794,3875.30908203125,98.50881391802638,-1.4911860819736236
2025-09-12,6584.2900390625,98.10897972707413,-1.8910202729258707,22141.099609375,97.301444847417,-2.698555152583008,5390.7099609375,96.58676162815418,-3.4132383718458223,23698.150390625,98.27703694092088,-1.7229630590791172,9283.2998046875,98.27341019655098,-1.726589803449024,44768.12109375,100.48768884012283,0.48768884012283015,3870.597900390625,98.38905755647002,-1.610942443529976
2025-09-15,6615.27978515625,98.57074133739526,-1.429258662604738,22348.75,98.21398683437359,-1.7860131656264093,5440.39990234375,97.47706931688165,-2.5229306831183527,23748.859375,98.48732882651167,-1.5126711734883351,9277.0,98.20672019372458,-1.7932798062754145,,,,3860.50390625,98.1324722443206,-1.8675277556793977
2025-09-16,6606.759765625,98.443789089164,-1.556210910835999,22333.9609375,98.14899470775946,-1.8510052922405478,5372.31005859375,96.2570857608686,-3.7429142391314048,23329.240234375,96.74715395612876,-3.2528460438712465,9195.7001953125,97.34607697169702,-2.653923028302985,44902.26953125,100.78880191157961,0.7888019115796223,3861.864990234375,98.16707045729032,-1.8329295427096788
2025-09-17,6600.35009765625,98.3482820593897,-1.651717940610299,22261.330078125,97.82981058039549,-2.170189419604516,5369.7001953125,96.21032415721066,-3.789675842789326,23359.1796875,96.8713138881174,-3.128686111882605,9208.400390625,97.48052178440159,-2.51947821559841,44790.37890625,100.53764930489368,0.537649304893688,3876.341064453125,98.53504650030854,-1.4649534996914708
2025-09-18,6631.9599609375,98.81928370382475,-1.1807162961752515,22470.720703125,98.75000021458045,-1.2499997854195504,5456.669921875,97.76858351622413,-2.2314164837758668,23674.529296875,98.17907946049354,-1.820920539506453,9228.099609375,97.6890585596324,-2.3109414403676003,45303.4296875,101.68925643080966,1.6892564308096665,3831.656005859375,97.39917010212959,-2.6008298978704194
2025-09-19,6664.35986328125,99.30205729723328,-0.6979427027667282,22631.48046875,99.4564763040526,-0.5435236959473992,5458.419921875,97.79993872436444,-2.2000612756355507,23639.41015625,98.03343918799777,-1.9665608120022295,9216.7001953125,97.56838387307334,-2.4316161269266545,45045.80859375,101.11099342412263,1.1109934241226098,3820.089111328125,97.10514424848307,-2.8948557515169377
2025-09-22,6693.75,99.73998398491095,-0.2600160150890485,22788.98046875,100.14862700270079,0.14862700270079537,5442.0498046875,97.50663104910991,-2.4933689508900803,23527.05078125,97.56748103238145,-2.432518967618549,9226.7001953125,97.67424430230017,-2.325755697699831,45493.66015625,102.11625268807116,2.116252688071163,3828.575927734375,97.32087574251955,-2.6791242574804595
2025-09-23,6656.919921875,99.19119871471852,-0.8088012852814696,22573.470703125,99.2015461465557,-0.7984538534442994,5472.39013671875,98.05024672104486,-1.9497532789551437,23611.330078125,97.91699014747323,-2.083009852526771,9223.2998046875,97.63824762119003,-2.3617523788099675,,,,3821.8330078125,97.1494734027867,-2.850526597213314
